;agreeableness;conscientiousness;extraversion;neuroticism;openness;✨;❤️;🥰;😍;🌱;😂;🌿;😋;🖤;🙌🏼;💛;🤤;💫;😅;👌🏼;🤗;💕;📷;👉🏼;🙏🏼;▪;🙈;✅;😘;🦋;💓;🥳;🤩;👏🏼;➡️
agreeableness;_;-0.4463289200131305;_;-0.665827771090929;0.32837290732027574;_;_;_;_;_;_;_;_;-0.3245604926933685;_;_;0.46777548650764983;_;_;_;_;_;_;_;_;_;_;_;_;-0.38826370424934065;_;_;_;_;_
conscientiousness;-0.4463289200131305;_;0.4905350694824379;0.5798227377174745;_;_;_;_;-0.3596233946408501;_;-0.3252174869451718;_;_;_;_;_;-0.3688380119204506;_;_;_;_;_;0.3567647629788756;_;_;_;_;_;_;0.3439921721184707;0.3210039215179388;_;_;_;_
extraversion;_;0.4905350694824379;_;0.46930736404420614;_;_;_;_;_;0.3947113325679744;_;_;_;_;_;_;_;_;-0.4275317371223056;_;_;_;0.34027610979909845;_;_;_;_;_;_;_;0.3635695992683741;_;_;_;_
neuroticism;-0.665827771090929;0.5798227377174745;0.46930736404420614;_;-0.37608053397527086;_;_;_;-0.4363021568244002;_;-0.37380314111867663;_;_;_;_;_;-0.44901533331278587;_;_;_;_;0.3458663539826717;0.39674410014080086;_;_;_;_;_;_;0.549487839977268;_;_;_;_;_
openness;0.32837290732027574;_;_;-0.37608053397527086;_;_;_;_;0.333552615498443;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
✨;_;_;_;_;_;_;_;_;_;_;-0.3770734568355202;_;_;_;_;0.34047565311927036;0.34356582231776406;_;_;_;_;_;_;0.4105275025895854;_;-0.3654678564955513;_;_;_;_;0.4090011127340944;_;_;0.4807394213271882;_
❤️;_;_;_;_;_;_;_;_;0.4668726854691557;_;0.39866270196557224;_;_;_;_;_;_;_;_;_;_;_;-0.3719100306557896;_;_;_;_;0.34942150496461494;_;_;-0.35467700826322196;_;_;_;_
🥰;_;_;_;_;_;_;_;_;_;0.3577832786915216;_;_;_;_;_;_;0.40031987332602476;_;0.3620779227137285;0.40209838424442107;0.32145229114823487;_;-0.48513942906006263;_;_;_;_;_;_;_;_;0.7062716384754155;0.5905863978724907;0.41345633459972725;_
😍;_;-0.3596233946408501;_;-0.4363021568244002;0.333552615498443;_;0.4668726854691557;_;_;_;0.433477804986087;_;_;_;_;_;_;_;_;_;_;_;-0.42137372456463607;_;_;0.33283729961260866;_;_;0.44347080074960643;_;_;_;_;_;_
🌱;_;_;0.3947113325679744;_;_;_;_;0.3577832786915216;_;_;_;_;_;_;0.5690057187548179;_;_;0.3425941404340948;_;0.5147730273307292;0.37732784115694923;_;_;_;0.48769792127074163;_;0.40410481635159884;_;_;_;_;0.475578094370879;_;0.4657138236200879;_
😂;_;-0.3252174869451718;_;-0.37380314111867663;_;-0.3770734568355202;0.39866270196557224;_;0.433477804986087;_;_;-0.46414610691042213;_;_;_;_;_;_;_;_;_;_;-0.33340525627170825;_;_;_;_;_;_;_;-0.3232232787221805;_;_;_;_
🌿;_;_;_;_;_;_;_;_;_;_;-0.46414610691042213;_;_;_;_;_;_;0.3938536884286466;_;_;_;_;_;0.4343636829322825;_;_;_;_;-0.4185972929740852;_;_;_;_;0.4352255616728009;_
😋;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;-0.3647992999690739;_;_;_;0.3456753010587268;_
🖤;-0.3245604926933685;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;0.3320486987755351;_;_;_;_;_;_;_;-0.33079208295149193
🙌🏼;_;_;_;_;_;_;_;_;_;0.5690057187548179;_;_;_;_;_;_;_;0.4061104696709255;_;0.6544094523107913;_;_;_;0.5516834271305552;0.5087996521522903;_;_;_;_;_;_;_;_;0.7807059514846977;_
💛;_;_;_;_;_;0.34047565311927036;_;_;_;_;_;_;_;_;_;_;0.5224883390737439;0.3203017042837403;_;_;_;_;_;_;_;_;_;_;_;0.3205265784217534;_;_;0.3535187490422218;_;_
🤤;0.46777548650764983;-0.3688380119204506;_;-0.44901533331278587;_;0.34356582231776406;_;0.40031987332602476;_;_;_;_;_;_;_;0.5224883390737439;_;_;0.464468786362026;0.4099042047313953;_;_;-0.42840118613511863;_;_;_;_;_;_;_;_;0.48686153059930093;0.34723646723646723;_;_
💫;_;_;_;_;_;_;_;_;_;0.3425941404340948;_;0.3938536884286466;_;_;0.4061104696709255;0.3203017042837403;_;_;_;0.42544942588809115;_;_;_;0.3695934807226646;_;_;_;_;_;0.428299769688776;_;_;_;0.4409896834774001;_
😅;_;_;-0.4275317371223056;_;_;_;_;0.3620779227137285;_;_;_;_;_;_;_;_;0.464468786362026;_;_;_;_;_;-0.5702744380951105;_;_;_;_;_;_;_;_;_;0.38840360830563625;_;_
👌🏼;_;_;_;_;_;_;_;0.40209838424442107;_;0.5147730273307292;_;_;_;_;0.6544094523107913;_;0.4099042047313953;0.42544942588809115;_;_;_;_;-0.32991247875928714;0.5139283789581192;_;_;_;0.3203378972083498;_;_;_;0.4230607516317013;_;0.6740983532707521;_
🤗;_;_;_;_;_;_;_;0.32145229114823487;_;0.37732784115694923;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;0.513641378339194;_;_;_;_;_;_;_;_
💕;_;_;_;0.3458663539826717;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
📷;_;0.3567647629788756;0.34027610979909845;0.39674410014080086;_;_;-0.3719100306557896;-0.48513942906006263;-0.42137372456463607;_;-0.33340525627170825;_;_;_;_;_;-0.42840118613511863;_;-0.5702744380951105;-0.32991247875928714;_;_;_;_;_;_;_;-0.4555354733270474;_;0.37458993605145935;_;-0.32857005859132804;_;_;_
👉🏼;_;_;_;_;_;0.4105275025895854;_;_;_;_;_;0.4343636829322825;_;_;0.5516834271305552;_;_;0.3695934807226646;_;0.5139283789581192;_;_;_;_;_;_;_;_;_;_;_;_;_;0.5683320734709728;_
🙏🏼;_;_;_;_;_;_;_;_;_;0.48769792127074163;_;_;_;_;0.5087996521522903;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;0.34012788840360847;_;_;0.4247282191154504;_
▪;_;_;_;_;_;-0.3654678564955513;_;_;0.33283729961260866;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
🙈;_;_;_;_;_;_;_;_;_;0.40410481635159884;_;_;_;0.3320486987755351;_;_;_;_;_;_;0.513641378339194;_;_;_;_;_;_;_;_;0.3307289487577627;_;_;_;_;_
✅;_;_;_;_;_;_;0.34942150496461494;_;_;_;_;_;_;_;_;_;_;_;_;0.3203378972083498;_;_;-0.4555354733270474;_;_;_;_;_;_;_;_;_;_;_;_
😘;_;_;_;_;_;_;_;_;0.44347080074960643;_;_;-0.4185972929740852;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;0.347008547008547;_;_
🦋;-0.38826370424934065;0.3439921721184707;_;0.549487839977268;_;_;_;_;_;_;_;_;-0.3647992999690739;_;_;0.3205265784217534;_;0.428299769688776;_;_;_;_;0.37458993605145935;_;_;_;0.3307289487577627;_;_;_;_;_;_;_;_
💓;_;0.3210039215179388;0.3635695992683741;_;_;0.4090011127340944;-0.35467700826322196;_;_;_;-0.3232232787221805;_;_;_;_;_;_;_;_;_;_;_;_;_;0.34012788840360847;_;_;_;_;_;_;_;_;0.3729891502462482;_
🥳;_;_;_;_;_;_;_;0.7062716384754155;_;0.475578094370879;_;_;_;_;_;_;0.48686153059930093;_;_;0.4230607516317013;_;_;-0.32857005859132804;_;_;_;_;_;_;_;_;_;0.5075961040201182;0.3562283454442939;_
🤩;_;_;_;_;_;_;_;0.5905863978724907;_;_;_;_;_;_;_;0.3535187490422218;0.34723646723646723;_;0.38840360830563625;_;_;_;_;_;_;_;_;_;0.347008547008547;_;_;0.5075961040201182;_;_;_
👏🏼;_;_;_;_;_;0.4807394213271882;_;0.41345633459972725;_;0.4657138236200879;_;0.4352255616728009;0.3456753010587268;_;0.7807059514846977;_;_;0.4409896834774001;_;0.6740983532707521;_;_;_;0.5683320734709728;0.4247282191154504;_;_;_;_;_;0.3729891502462482;0.3562283454442939;_;_;_
➡️;_;_;_;_;_;_;_;_;_;_;_;_;_;-0.33079208295149193;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
